,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
0,750.0,flat,60.0,True,1,1,Madrid,7037,good,3,Hortaleza,True
1,750.0,flat,70.0,True,2,1,San Sebastián de los Reyes,16145,good,bj,Centro Urbano,False
2,400.0,penthouse,67.0,True,2,2,Villamanrique de Tajo,55041,good,2,desconocido,False
3,590.0,flat,70.0,True,3,2,Rascafría,56596,good,desconocido,desconocido,False
4,684.0,studio,45.0,True,0,1,Madrid,10656,desconocido,desconocido,desconocido,desconocido
5,600.0,flat,73.0,True,2,1,Manzanares el Real,37062,good,3,desconocido,False
6,600.0,duplex,71.0,True,1,1,Miraflores de la Sierra,44126,good,1,desconocido,False
7,550.0,flat,53.0,True,1,1,Madrid,4008,good,1,Puente de Vallecas,False
8,700.0,studio,28.0,True,0,1,Madrid,5569,good,1,Ciudad Lineal,False
9,700.0,duplex,86.0,True,2,1,Galapagar,31153,good,3,Casco Antiguo,True
10,700.0,flat,45.0,False,1,1,Madrid,2046,good,5,Moncloa,False
11,550.0,flat,54.0,True,2,1,Arganda,26233,good,en,Centro,False
12,695.0,flat,64.0,True,2,1,San Sebastián de los Reyes,15747,good,1,Centro Urbano,False
13,650.0,flat,68.0,True,2,1,San Lorenzo de el Escorial,42410,good,bj,Centro - Casco Histórico,False
14,700.0,flat,30.0,False,1,1,Madrid,3247,good,1,Retiro,True
15,700.0,flat,35.0,False,1,1,Madrid,1894,good,1,Arganzuela,False
16,700.0,flat,43.0,True,1,1,Madrid,4442,good,2,Latina,True
17,650.0,flat,60.0,True,2,1,Madrid,3985,good,1,Puente de Vallecas,False
19,700.0,flat,105.0,True,3,2,Aranjuez,44003,good,bj,Centro,False
20,695.0,flat,40.0,False,1,1,Madrid,2271,good,4,Barrio de Salamanca,True
21,675.0,flat,40.0,True,1,1,Villanueva del Pardillo,23556,good,bj,Centro,False
22,750.0,studio,45.0,False,0,1,Madrid,1027,good,bj,Centro,True
23,750.0,flat,99.0,True,3,2,Aranjuez,43492,good,1,Centro,True
24,680.0,flat,38.0,False,1,1,Madrid,2591,good,1,Retiro,True
25,750.0,flat,51.0,True,1,1,Madrid,11896,good,1,Barajas,True
26,750.0,penthouse,60.0,True,1,1,Las Rozas de Madrid,21316,good,2,Las Matas- Peñascales,False
27,750.0,studio,25.0,False,0,1,Madrid,533,good,4,Centro,True
28,750.0,flat,40.0,False,1,1,Madrid,1989,good,1,Arganzuela,False
29,650.0,flat,62.0,True,2,1,Madrid,7841,good,1,Latina,False
30,750.0,studio,30.0,True,0,1,Madrid,935,good,3,Centro,False
31,750.0,flat,39.0,False,1,1,Madrid,2036,good,5,Chamberí,False
32,700.0,flat,62.0,True,2,1,Madrid,8492,good,3,Villaverde,False
33,747.0,flat,96.0,True,3,2,Navalcarnero,26611,good,1,La Dehesa - El Pinar,True
34,640.0,studio,35.0,True,0,1,Madrid,7324,good,1,Villaverde,True
35,750.0,flat,30.0,False,1,1,Madrid,2133,good,st,Retiro,True
36,750.0,flat,70.0,True,2,1,Alcalá de Henares,28703,good,2,Reyes Católicos,True
37,625.0,flat,52.0,True,2,1,El Escorial,40445,good,2,Centro,False
38,700.0,studio,40.0,True,0,1,Madrid,1431,good,3,Centro,True
39,750.0,studio,40.0,True,0,1,Madrid,2417,good,en,Arganzuela,True
40,650.0,flat,35.0,False,1,1,Madrid,1121,good,2,Centro,True
41,720.0,flat,70.0,True,3,1,Alcalá de Henares,29099,good,2,Chorrillo,False
42,699.0,flat,52.0,True,1,1,Madrid,7092,good,3,Puente de Vallecas,True
43,750.0,flat,65.0,True,2,1,Leganés,13081,good,desconocido,Valdepelayo - Montepinos - Arroyo Culebro,True
44,695.0,flat,65.0,True,2,1,Coslada,13904,good,desconocido,Valleaguado - La Cañada,True
45,750.0,flat,78.0,True,2,2,Torrejón de Ardoz,19719,good,desconocido,Suroeste,True
46,620.0,flat,60.0,True,2,1,Madrid,7981,good,desconocido,Villaverde,False
47,500.0,studio,28.0,False,0,1,Madrid,769,good,1,Centro,False
48,550.0,flat,38.0,True,1,1,Leganés,10938,good,desconocido,Centro,False
49,750.0,flat,46.0,False,1,1,Madrid,1476,good,3,Arganzuela,True
50,680.0,studio,55.0,True,0,1,Madrid,5097,good,bj,Ciudad Lineal,False
51,700.0,flat,50.0,True,1,2,Camarma de Esteruelas,32052,desconocido,desconocido,desconocido,desconocido
52,750.0,duplex,35.0,True,1,1,Madrid,4047,desconocido,desconocido,desconocido,desconocido
53,750.0,flat,66.0,True,2,1,Alcorcón,13311,good,1,Centro,True
54,650.0,flat,65.0,True,1,1,Alcalá de Henares,29440,good,en,San Isidro - Los Almendros,True
55,720.0,flat,133.0,False,3,2,Pinto,19453,good,1,San José - Buenos Aires,True
56,600.0,flat,50.0,True,1,1,Valdemoro,24430,good,desconocido,Hospital,True
57,650.0,flat,61.0,True,1,1,Collado Villalba,34886,good,2,Parque de la Coruña - Las Suertes,True
58,650.0,flat,65.0,False,2,1,Alcorcón,11537,good,3,Valderas - Los Castillos,False
59,700.0,flat,45.0,True,1,1,Madrid,12321,good,3,Barajas,False
60,625.0,flat,62.0,True,2,1,Getafe,11666,good,bj,Getafe Centro,False
61,595.0,flat,45.0,True,1,1,Madrid,4543,good,bj,Latina,False
62,650.0,flat,55.0,True,1,1,Madrid,10495,good,4,San Blas,True
63,725.0,flat,50.0,True,1,1,Madrid,7708,good,2,Villaverde,True
64,750.0,flat,95.0,True,3,1,Alcalá de Henares,28483,good,8,Reyes Católicos,True
65,700.0,penthouse,30.0,True,1,1,Madrid,12049,good,1,San Blas,True
66,700.0,flat,27.0,False,1,1,Madrid,1391,good,3,Centro,False
67,650.0,flat,59.0,True,2,1,Alcalá de Henares,30562,good,1,Val,True
68,550.0,flat,40.0,True,1,1,Paracuellos de Jarama,17750,good,3,Casco Urbano,True
69,650.0,flat,55.0,True,1,1,Madrid,10296,good,4,San Blas,True
70,750.0,flat,65.0,True,2,1,Madrid,5580,good,desconocido,Ciudad Lineal,True
71,725.0,flat,70.0,True,2,1,Madrid,4117,good,desconocido,Puente de Vallecas,True
72,700.0,flat,80.0,True,1,1,Alcalá de Henares,29460,good,1,Casco Histórico,False
73,650.0,flat,40.0,True,1,1,Madrid,12224,good,bj,Barajas,True
74,695.0,flat,90.0,True,3,1,Madrid,7729,good,desconocido,Villaverde,False
75,750.0,flat,55.0,True,1,1,Madrid,6017,good,desconocido,Ciudad Lineal,False
76,650.0,flat,65.0,True,2,1,Madrid,7559,good,desconocido,Latina,True
77,666.0,flat,70.0,True,1,2,Villanueva del Pardillo,24862,good,1,Los Llanos - Valle Pardo,True
78,750.0,flat,78.0,True,2,2,Alcalá de Henares,29976,good,desconocido,Ensanche,True
79,630.0,flat,74.0,True,3,1,El Molar,36483,good,desconocido,desconocido,True
80,635.0,studio,55.0,True,0,1,Leganés,14528,good,2,Valdepelayo - Montepinos - Arroyo Culebro,True
81,725.0,flat,69.0,True,2,1,Collado Villalba,35892,good,1,Dehesa - El Soto,True
82,750.0,flat,35.0,False,1,1,Madrid,859,good,1,Centro,False
83,690.0,flat,65.0,True,2,1,Madrid,4724,good,3,Puente de Vallecas,False
84,700.0,studio,30.0,False,0,1,Madrid,1041,good,2,Centro,True
85,730.0,flat,64.0,True,3,1,Parla,20235,good,1,Pintores-Ferial,False
86,750.0,flat,51.0,True,1,1,Madrid,3436,good,1,Carabanchel,True
87,750.0,flat,48.0,False,1,1,Tres Cantos,20526,good,4,Zona Estación- Centro,True
88,690.0,flat,35.0,True,1,1,Madrid,4802,good,desconocido,Tetuán,False
89,750.0,flat,74.0,True,3,1,Alcorcón,13017,good,4,Centro,True
90,700.0,duplex,35.0,True,1,1,Madrid,852,good,bj,Centro,False
91,720.0,flat,42.0,True,1,1,Madrid,8333,good,4,Hortaleza,True
92,595.0,flat,55.0,True,1,1,Quijorna,29699,good,1,desconocido,False
93,700.0,flat,45.0,False,1,1,Madrid,1113,good,1,Centro,False
94,500.0,flat,45.0,True,1,1,Valdemorillo,32188,good,desconocido,Valdemorillo pueblo,False
95,700.0,flat,75.0,True,2,1,Aranjuez,43915,good,1,Nuevo Aranjuez-Ciudad de las Artes,False
96,675.0,duplex,87.0,True,2,2,Miraflores de la Sierra,44503,good,2,desconocido,False
97,650.0,flat,45.0,True,1,1,Pedrezuela,37741,good,bj,desconocido,False
98,750.0,studio,55.0,True,0,1,Madrid,918,good,2,Centro,True
99,720.0,studio,45.0,True,0,1,San Sebastián de los Reyes,15433,good,5,Vega de la Moraleja,True
100,624.0,flat,45.0,True,1,1,Valdemoro,24077,newdevelopment,desconocido,Hospital,True
101,633.0,flat,45.0,True,1,1,Valdemoro,24077,newdevelopment,desconocido,Hospital,True
102,640.0,studio,33.0,True,0,1,Madrid,11189,good,2,Villa de Vallecas,True
103,645.0,flat,84.0,True,2,2,Aranjuez,43827,good,2,Nuevo Aranjuez-Ciudad de las Artes,True
104,750.0,flat,46.0,False,1,1,Madrid,1069,good,3,Centro,False
105,735.0,studio,35.0,True,0,1,Madrid,11088,good,1,Fuencarral,True
106,600.0,flat,55.0,True,1,1,Daganzo de Arriba,25189,desconocido,desconocido,desconocido,desconocido
107,750.0,flat,75.0,True,3,1,Madrid,8286,good,desconocido,Villaverde,False
108,600.0,penthouse,25.0,True,1,1,Madrid,183,good,5,Centro,True
109,705.0,flat,48.0,True,1,1,Madrid,11472,good,4,Villa de Vallecas,True
110,650.0,flat,62.0,True,2,1,Guadarrama,43229,good,3,desconocido,False
111,700.0,duplex,61.0,True,2,1,Cobeña,23917,good,1,desconocido,False
112,650.0,studio,40.0,False,0,1,Madrid,5088,good,en,Tetuán,True
113,700.0,flat,40.0,True,1,1,Madrid,3076,good,bj,Latina,False
114,730.0,flat,51.0,True,2,1,Madrid,6767,good,4,Villaverde,False
115,750.0,flat,50.0,True,2,1,Madrid,8331,good,3,Villa de Vallecas,False
116,680.0,flat,56.0,True,2,1,Torrejón de Ardoz,19298,good,3,Noroeste,False
117,710.0,flat,78.0,True,3,1,Parla,21617,good,4,Fuentebella-San Felix-El Leguario,False
118,720.0,flat,47.0,True,2,1,Madrid,7088,good,1,San Blas,False
119,750.0,studio,43.0,True,0,1,Madrid,5332,good,desconocido,Tetuán,True
120,695.0,studio,40.0,True,0,1,Madrid,12376,good,desconocido,Barajas,True
121,630.0,flat,54.0,True,1,2,El Álamo,32432,desconocido,desconocido,desconocido,desconocido
122,750.0,flat,90.0,True,3,1,Algete,26401,good,desconocido,desconocido,True
123,730.0,flat,50.0,True,1,1,Madrid,8717,good,2,Villa de Vallecas,True
124,600.0,flat,90.0,True,3,1,Valdemoro,25182,good,desconocido,Centro,True
125,650.0,studio,45.0,True,0,1,Madrid,5656,good,bj,Ciudad Lineal,True
126,750.0,flat,38.0,False,1,1,Madrid,470,good,bj,Centro,True
127,730.0,flat,50.0,True,1,1,Rivas-Vaciamadrid,16410,good,desconocido,Rivas Futura,True
128,735.0,studio,30.0,True,0,1,Madrid,11188,good,2,Fuencarral,True
129,610.0,flat,72.0,False,1,1,Pinto,19544,good,bj,San José - Buenos Aires,True
130,580.0,chalet,54.0,False,3,2,Los Santos de la Humosa,39053,good,desconocido,desconocido,desconocido
131,725.0,flat,50.0,True,1,1,Villanueva del Pardillo,23787,good,en,Centro,False
132,750.0,flat,48.0,True,1,1,Madrid,5085,good,1,Carabanchel,False
133,750.0,flat,70.0,True,3,1,Alcalá de Henares,29660,good,2,San Isidro - Los Almendros,False
134,750.0,flat,49.0,True,1,1,Madrid,8465,good,7,Hortaleza,True
135,730.0,flat,60.0,True,3,1,Parla,20948,good,3,Reyes,False
136,560.0,flat,26.0,False,1,1,Madrid,625,good,bj,Centro,False
137,700.0,studio,23.0,True,0,1,Madrid,1271,desconocido,desconocido,desconocido,desconocido
138,750.0,flat,80.0,True,3,1,San Fernando de Henares,14991,good,2,Parque Roma - Coronas,True
139,730.0,flat,70.0,True,3,1,Pinto,18781,good,3,Parque Europa - Los Pitufos,False
140,730.0,flat,52.0,True,2,1,Madrid,8827,good,4,Vicálvaro,False
141,740.0,flat,64.0,True,2,1,Madrid,8365,good,3,Villaverde,False
142,720.0,flat,65.0,True,2,1,Madrid,7511,good,2,Villaverde,False
143,720.0,flat,63.0,True,2,1,Torrejón de Ardoz,19731,good,2,Noroeste,False
144,740.0,flat,54.0,True,2,1,Madrid,6636,good,1,Villaverde,True
145,720.0,flat,52.0,True,2,1,Getafe,12695,good,3,La Alhóndiga,False
146,730.0,flat,45.0,True,2,1,Madrid,4385,good,3,Puente de Vallecas,False
147,600.0,duplex,80.0,False,1,1,Madrid,7223,desconocido,desconocido,desconocido,desconocido
148,600.0,duplex,80.0,False,1,1,Madrid,7141,desconocido,desconocido,desconocido,desconocido
149,725.0,duplex,71.0,True,2,1,Cobeña,23158,good,1,desconocido,False
150,675.0,flat,76.0,True,3,1,Aldea del Fresno,43485,good,2,desconocido,False
151,750.0,flat,54.0,True,1,1,San Sebastián de los Reyes,15834,good,3,Centro Urbano,True
152,750.0,duplex,79.0,True,2,2,Collado Villalba,34697,good,1,Villalba Estación,False
153,700.0,flat,54.0,True,1,1,Madrid,3354,good,2,Usera,True
154,750.0,flat,54.0,True,2,1,Madrid,8322,good,3,Villaverde,False
155,730.0,flat,48.0,True,2,1,Madrid,6997,good,3,San Blas,False
156,650.0,flat,61.0,True,2,1,Alcalá de Henares,28605,good,4,Reyes Católicos,False
157,730.0,flat,63.0,True,2,1,Madrid,7893,good,1,Villaverde,False
158,720.0,flat,50.0,True,2,1,Madrid,7041,good,2,San Blas,False
159,720.0,flat,51.0,True,2,1,Madrid,6973,good,1,San Blas,False
160,750.0,flat,47.0,True,2,1,Madrid,4538,good,1,Puente de Vallecas,False
161,730.0,flat,50.0,True,2,1,Madrid,7411,good,3,Villaverde,False
162,730.0,flat,40.0,True,2,1,Madrid,4201,good,2,Puente de Vallecas,False
163,670.0,flat,67.0,True,2,1,Valdemoro,25100,good,1,Zona Estación,True
164,740.0,flat,52.0,True,2,1,Madrid,4862,good,3,Puente de Vallecas,False
165,720.0,flat,69.0,True,2,1,Alcalá de Henares,29084,good,1,Chorrillo,True
166,750.0,flat,59.0,True,2,1,Madrid,8400,good,4,Villaverde,False
167,740.0,flat,45.0,True,2,1,Madrid,7720,good,3,Villaverde,False
168,740.0,flat,60.0,True,2,1,Madrid,6670,good,1,Villaverde,True
169,730.0,studio,45.0,False,0,1,Madrid,854,good,desconocido,Centro,True
170,620.0,flat,75.0,True,3,1,Parla,21044,good,desconocido,Reyes,True
171,695.0,flat,67.0,True,2,1,Fuenlabrada,16111,good,desconocido,Sudeste Industrial,False
172,650.0,flat,95.0,True,3,1,Navalcarnero,29884,good,desconocido,Centro,True
173,675.0,flat,68.0,True,2,1,Alcalá de Henares,30461,good,desconocido,Juan de Austria,True
